,client_id,prof_id,job,months,description
1376,303,1,Главный агроном,82,"Разработка и осуществление агротехнических мероприятий для обеспечения отрасли животноводства полноценными кормами.В 1986 году стал лучшим агрономом района, так как отрасль растениеводства хозяйства из отстающих стал лидером по всем показателям."
1377,304,1,Тракторист-машинист,10000,Вспашка разсев удобрения культивацыя дискование подвоз
1378,305,1,Зоотехник,229,"Производство продукции животноводства, проведение зооветеринарных мероприятий, селекция стада, применение передовых технологий, управление персоналом."
1379,306,7,Главный ветеринарный врач,53,"- Контроль за зооветеринарным состоянием стада крупного рогатого скота; - Контроль за проведением ветеринарно-санитарных мероприятий и их проведение; - Контроль за соблюдением протоколов лечения, разработка эффективных схем лечения; - Организация и контроль работы ветеринарной службы; - Составление ежемесячных ветеринарных отчетов; - Работа в ФГИС ""Меркурий""; - Работа в животноводческом холдинге; - Общее поголовье КРС 7040 голов, в т.ч. коров 2500 голов; - в Холдинге 7 предприятий, в штате 10 ветеринарных врачей."
1380,306,6,Главный специалист - начальник отдела животноводства,24,"- Контроль за зооветеринарным состоянием стада крупного рогатого скота; - Контроль за проведением ветеринарно-санитарных мероприятий и их проведение; - Контроль за соблюдением протоколов лечения, разработка эффективных схем лечения; - Организация и контроль работы ветеринарной службы; - Составление ежемесячных ветеринарных отчетов; - Общее поголовье КРС 13000 голов, в т.ч. коров 6000 голов; - в Холдинге 13 предприятий, в штате 25 ветеринарных врачей."
1381,306,5,Директор - по совместительству,13,Штатная численность предприятия -100 человек
1382,306,4,Начальник производства комбикормового завода (по совместительству - начальник комбикормового завода),47,"- Контролирует ведение технологических процессов гранулирования рассыпного комбикорма, дробления гранул на крупки и сортировки по фракциям; - Контролирует ведение технологических процессов дозирования компонентов комбикормов; - Контролирует работников, осуществляющих обслуживание, наблюдение и контроль работы дозаторов, дробилок зернового сырья, смесителей и другого оборудования для производства комбикормов; - Составление рецептов для КРС и птицы в программе ""Корм-Оптима""."
1383,306,3,Ведущий специалист отдела животноводства (зоотехник),46,"- Контроль за полноценным кормлением КРС, составление сбалансированного рациона; - Составление ежемесячных планов производства молока; - Контроль над содержанием коров: микроклимат, прогулки, наличие подстилки, освещение; - Составление отчетов отдела животноводства."
1384,306,2,Зоотехник племгруппы по Сорочинскому району,58,- Ведение зоотехнической документации по племенному делу; - Контроль за проведением искусственного осеменения животных; - Контроль за качеством семени; - Проведение искусственного осеменения КРС.
1385,306,1,Преподаватель,56,Педагогическая деятельность
1386,307,1,Машинист погрузчика,49,"Погрузка овощной культуры на поддонах, биг бегах, расстановка контейнеров с продукцией согласно схеме,работа на телескопических погрузчиках с навесным оборудованием."
1387,308,8,Механизатор,10000,"1. Управление с/х техникой. 2. Выполнение работы по техническому обслуживанию с/х агрегатов, поддержание техники в техническом исправном состоянии. 3. Выполнение технологических операций: - опрыскивание и полив садовых культур; - распыление удобрений и ядохимикатов; - покос травы и мульчирование; - вспашка почвы; - перевозка грузов."
1388,308,7,Заместитель директора,10000,"Выполнение функций механика предприятия и контролера технического состояния ТС: - Взаимодействие с ГиБДД, Ространснадзором, Страховыми компаниями. - Лицензирование перевозок пассажиров и соблюдение лицензионных требований при перевозках. - Организация и проведение предрейсовых осмотров ТС, выпуск на линию, определение неисправностей при приеме с линии. - Ведение и просчет путевых листов. - Контроль прохождения медосмотров, обучения по проф.мастерству. - Ведение журналов согласно требованиям законодательства. - Разработка графика обслуживания и ремонта ТС, осуществление контроля за качеством и своевременностью выполнения работ (также сервисных служб сторонних организаций). - Закупка (списание) запчастей. Организация и учет основных средств, узлов ,агрегатов, шин ,АКБ. - Ведение сервисного дела ТС. - Контроль и минимизация затрат на сервисное обслуживание. - Контроль за соблюдением производственной и трудовой дисциплины. - Составление документов (приказы, распоряжения, деловые письма, служебные записки). - Учет и контроль ГСМ (Глонасс), Охрана ТС (Эра-Глонасс). Руководство хозяйственной деятельностью организации: - Приемка и учет материальных ценностей, имущества, мебели и прочее. - Взаимодействие с подрядными организациями и контрагентами. - Проведение инвентаризацию имущества, составление отчетность. - Обеспечение соблюдения требований охраны труда при эксплуатации здания, технологического и энергетического оборудования, осуществляет их периодический осмотр и организация текущего ремонта. - Организация соблюдение требований пожарной безопасности зданий и сооружений. -"
1389,308,6,Главный специалист,131,"- Взаимодействие с правоохранительными и контрольно-надзорными органами. - Поддержка функционирования подведомственных организаций (интернет, связь, охрана, пожарная безопасность). - Подготовка аналитических материалов и отчетности. - Взаимодействие со смежными и обслуживающими организациями (Ростелеком, Ресурс-связь, ЖКХ). - Организация закупки программоного обеспечения для подведомственных организаций (Softline, Microsoft). - Установка и настройка орг.техники, пк. Достижения: - Внедрение программного обеспечения для оказания государственных услуг. - Реализация проектов по модернизации котельных подведомственных организаций. - Оснащение подведомственных организаций системами видеонаблюдения."
1390,308,5,Продавец-консультант,30,"1. Консультации покупателей; 2. Подбор запасных частей, материалов и средств по уходу за транспортным средством; 3. Ведение учета реализованной продукции; 4. Формирование заявки на поставку товара; 5. Проведение ревизий, инвентаризаций; Достижения: - Расширение клиентской базы. - Увеличение количества ключевых клиентов на 7 %. - Стимулирование постпродаж и увеличение среднего чека на 20 %. - Увеличение объема продаж на 15 % низколиквидных товаров."
1391,308,4,Помошник маляра,8,Подготовка транспортных средств к покраске.
1392,308,3,Слесарь-ремонтник,4,"- Подготовка с/х техники к сезонным полевым работам. - Настройка и обслуживание с/х техники (ОВС 25, зернометатель А-150)."
1393,308,2,Слесарь-ремонтник,4,"- Подготовка с/х техники к сезонным полевым работам. - Настройка и обслуживание с/х техники (ОВС 25, зернометатель А-150)."
1394,308,1,Слесарь-ремонтник,4,"- Подготовка с/х техники к сезонным полевым работам. - Настройка и обслуживание с/х техники (ОВС 25, зернометатель А-150)."
1395,309,2,Главный инженер,18,"Обладаю большим опытом по использованию современных технологий монтажа оборудования, систем кондиционирования воздуха и вентиляции на объектах различного назначения и степени сложности. Осуществлял установку климатической техники, и ее техническое обслуживание. Проектирование систем канализации, отопления, водоотведния,водоснабжения и пр."
1396,309,1,Управляющий отделением Садовой бригады,52,"Управление персоналом 15-25 чел., организация работы в садовой бригаде, управление машинно-тракторныйм парком, организация, контроль строительсва в бригаде (подсобных помещений, камеры хранения, элеватора и пр.) Реализация продукции, закупка запчастей, строительных материалов.Материально-ответственное лицо-расход ГСМ, строительных материалов, запчастей, подотчетные денежные средства."
1397,310,9,мастер сварочного участка,10000,"Выполнение и контроль выполнения сварочных работ согласно конструкторской документации. Сварочные работы: электродно-дуговая,полуавтоматическая, аргонная, ручной плазморез,..."
1398,310,8,Механик по ремонту основного и вспомогательного технологического оборудования,17,"Выполнение работ по профилактическому обслуживанию, планово-предупредительных работ, ремонт, анализ отказов в работе оборудования,ведение электронного журнала ППР и оборота оборудования,контроль качества ремонтных работ и ППР ..."
1399,310,7,механик по закупке запчастей,9,Поиск поставщиков запчастей в интернете.Заключение договоров на поставку запчастей и проведения ТО техники. Контроль ремонта и эксплуатации техники. Заказ запчастей в интернет каталогах по аналогу требуемой.
1400,310,6,Начальник РММ,6,"Контроль качества выполнения ремонтных работ с/х техники и оборудования проводимых в мастерских и в полевых условиях. Контроль соблюдения ТБ и ПБ. Контроль расхода и списания ГСМ. Заполнение журнала выполненных ремонт работ в ""Exel""/ Ведение ежедневного отчета о задействованности техники в работе. Поиск поставщиков запчастей и заказ запчастей по каталогу. Выпуск техники и оборудования на линию. Согласование сроков проведения ТО с сервисными службами. Анализ отказов техники и оборудования."
1401,310,5,механик арматурного цеха,14,Контроль качества выполнения ремонтных работ при отказе оборудования и станков. Выполнение эскизов деталей и их заказ в ремцех. Контроль проведения профилактических работ по основному и вспомогательному оборудованию и станков. Контроль выполнения по ТБ и ПБ и инструктаж на рабочем месте. Ведение электронного журнала расхода металла и материальных ценностей.
1402,310,4,Слесарь механосборочных работ,40,"Выполнение слесарных работ:зачистка деталей,сверление,шлифование,притирка, полировка,нарезка резьбы, зенкование,зенкерование,шабрение; соблюдение размеров,допусков и шероховатостей согласно конструкторской тех.документаций и черчежей"
1403,310,3,Слесарь механосборочных работ,39,выполнение слесарных работ
1404,310,2,стропальщик по выгрузке и отгрузке пиломатерьялов,49,"Работал стропальщиком,оператором пилорамы,машинистом КЖДЭ-8 и КК-10."
1405,310,1,Тракторист-машинист,97,"Выполнение широкого спектра полевых и внутрихозяйственных работ на с/х технике а так же её ремонт. Права тракториста-машиниста с 1993 г категории ""В"",""С"",""D"",""E"",""F"" с особыми отметками ""машинист погрузчика 4 разряда; машинист экскаватора 5 разряда""."
1406,311,6,Начальник,3,Руководство управлением Ветеринарии по Петропавловскому району
1407,311,5,Контролер КПП,13,Проверка транспорта видеонаблюдение
1408,311,4,управляющий ветеринарный врач,22,организация работы молочной козьей фермы 200 голов
1409,311,3,Исполнительный директор,73,работал 6 лет вел переговоры заключал договора с надзорными органами руководил коллективом 150 чел Большой опыт по лечению и профилактики болезней животных Знаю весь цикл заготовки кормов Составлю рацион Работал с молочным и мясным скотом лошадями овцами свиньями Работал на бойнях маслосырзаводах
1410,311,2,Руководитель предприятия,85,Занимался выращиванием сдачей мяса молоко заготовка кормов Ветеринария
1411,311,1,Главный ветеринарный врач,188,лечение и профилактика болезней животных дойныеи мясные коровы овцы лошади свиньи
1412,312,1,Агроном,10000,-
1413,313,3,Начальник автопарка,10000,"Выполнение организационных работ, составление дефектных ведомостей, составление табеля учёта рабочего времени, списание ТМЦ и ГСМ."
1414,313,2,Механик,10000,"Выполнение организационных работ, составление дефектных ведомостей, составление табеля учёта рабочего времени, списание ТМЦ и ГСМ."
1415,313,1,Механик отделения,19,"Выполнение организационных работ, составление дефектных ведомостей, составление табеля учёта рабочего времени, списание ТМЦ и ГСМ."
1416,314,10,ветеринарный врач,10000,Ветеринарный врач. Молочное направление .
1417,314,9,Главный ветеринарный врач,5,"Согласно должностным обязанностям главного ветеринарного врача .Консультации по вопросам лечения и воспроизводства животных, соответствующего содержания и кормления согласно зоогигиеническим требованиям. Осмотр, диагностировали и профилактика болезней.Родовспоможение, лечение гинекологических болезней, лечение и диагностика бесплодия, вправление матки,влагалища.Вскрытие, экспертиза, составление протоколов и сопроводительное документов. Поголовье молочное айширская. Мясная герефорд .Общее поголовье 1100 голов."
1418,314,8,Ветеринарный врач,9,Выполнение ветеринарных обязанностей.
1419,314,7,Ветврач консультант.,35,Ветеринарная аптека
1420,314,6,Главный ветеринарный врач,32,Работа с племенными козами Ангорских пород и Гисарскими пород овец.Проведение профилактических и лечебных вет.мероприятий согласно должностным обязанностям.
1421,314,5,Ветврач,14,Составление плана ветеринарных мероприятий.Проводил терапевтические и хирургические лечение КРС и лошадей.
1422,314,4,Ветврач консультант,62,Ветеринарная аптека
1423,314,3,Ветврач-Консультант,27,Оказание ветеринарных консультации частных фермеров.Проведение презентации.
1424,314,2,Ветврач-бактериолог,40,"Проводил бак.исследования. Работа с лабораторними животными морские свинки,кролики,мыши. Проводил консультации профилактика и лечения болезни животных частного подворья."
1425,314,1,Младший научный сотрудник,40,"Младший научный сотрудник.Тема диссертации Профилактика и лечение парагриппа. Проведение лабораторных исследований.Лабораторные животные кролики.морские свинки,мыши."
1426,315,12,Инженер-механик,10000,"ТО и ремонт с\х технике ,ввод в эксплуатацию новой, отчётность в1С"
1427,315,11,Инженер-механик,7,"Проведение ежедневного осмотра, подготовки автомобилей и с\х техники, а также обеспечение её бесперебойной работоспособности; Ведение технической и отчетной документации, в частности журналов необходимых для работы; Проведение контроля ГСМ с помощью спутниковой системы ""ГЛОНАС""; Ведение поиска поставщиков, необходимых запчастей и материалов; Проведение инструктажей водителей и лиц занятых ремонтом автомобилей, а также соблюдение правил охраны труда и техники безопасности; Контролирование качества работ по ремонту техники и правильности хранения запчастей на складах; Обеспечение своевременного и качественного ремонта, а также модернизации техники; Исполняю обязанности Главного Инженера во время его отсутствия; В своей работе руководствуюсь действующими законодательными и нормативными документами по вопросам выполняемой работы, приказами и распоряжениями генерального директора и главного инженера, должностной инструкцией, методическими материалами, средствами механизации труда обслуживающего персонала и основами организации труда."
1428,315,10,Управляющий садовой бригадой,4,"Обеспечение бесперебойной работы в саду, в хранилище, на складе подчинённых сотрудников; осуществлял техническое руководство персоналом по обслуживанию оборудования закрепленных участков; являлся ответственным по надзору за безопасную эксплуатацию закрепленных участков, а также санитарное состояние и пожарную безопасность рабочих мест; В своей работе руководствуюсь действующими законодательными и нормативными документами по вопросам выполняемой работы, приказами и распоряжениями директора, должностной инструкцией, методическими материалами, средствами механизации труда обслуживающего персонала и основами организации труда."
1429,315,9,Заведующий подсобным производством,20,"Обеспечение проведения бесперебойной работы по выгрузке сахара-сырца, отгрузке сухого жома, патоки; осуществляю контроль эксплуатации обслуживаемого оборудования склада сахара-сырца, клеровочного, жомосушильного отделений и гранулирования жома; осуществляю техническое руководство персоналом по обслуживанию оборудования закрепленных участков; являюсь ответственным по надзору за безопасную эксплуатацию и ремонт оборудования закрепленных участков, а также санитарное состояние и пожарную безопасность рабочих мест и производство огневых работ; определение потребности транспортных средств под погрузку и выгрузку; принимаю участие в контрольных перевесах, погрузных и выгрузных грузов; участвую в разработке и осуществлении мероприятий по повышению эффективности работы складского хозяйства, внедрению в организацию складского хозяйства современных средств вычислительной техники, помещений и связи; осуществляю общее руководство заведующими складами: - сахара-сырца и сухого жома, - по отпуску патоки, - мастера жомосушильного отделения и гранулирования жома, - обслуживающего персонала и работниками этих подразделений. В своей работе руководствуюсь действующим законодательством РФ, нормативными документами, приказами генерального директора, должностной инструкцией, средствами механизации труда обслуживающего персонала и основами организации труда."
1430,315,8,Помощник начальника смены,52,"Обеспечение бесперебойной работы оборудования, выполнение ремонтных и профилактических работ дежурным персоналом; осуществление контроля за сырьём, материалами, оборудованием, трудовыми ресурсами, а также выявлять и устранять причины нарушений технологии производства и природоохранных мероприятий; анализировал результаты простоя оборудования, снижения качества продукции; участвовал в разработке и внедрении мероприятий по устранению выявленных недостатков; проверка соблюдения рабочими установленного технологического режима; соблюдение состояния охраны труда и пожарной безопасности на вверенном производстве в соответствии с должностной инструкцией комбината; выполнение приказов и распоряжений вышестоящих руководителей, предписаний органов надзора и специалистов охраны труда комбината. Исполнял обязанности Начальника смены во время его отсутствия: внедрял элементы рыночной экономики (хозрасчет), обеспечивающих конкурентоспособность продукции комбината; обеспечение выполнения сменного задания по переработке сырья и выработке сахара, для получения максимальной прибыли; проводил работу по использованию резервов повышения производительности труда, снижению себестоимости и трудоемкости продукции; ежедневное ведение записей основных производственных показателей в Журнале начальника смены и в Журнале по охране труда. В своей работе руководствовался действующим законодательством РФ, технологическими нормами и правилами, приказами и распоряжениями руководства комбината, а также должностной инструкцией и инструкцией по ведению технологического процесса свеклосахарного производства."
1431,315,7,Слесарь-ремонтник 3 разряда,5,Ремонт технологического оборудования.
1432,315,6,Машинист насосных установок 4 разряда,6,Ремонт и обслуживание насосных установок.
1433,315,5,Инженер- механик,46,Обслуживание импортной сельхозтехники; заключение договоров с покупателями по предоставлению услуг с/х техники; заполнение Авансовых отчетов; заполнение Табеля учета рабочего времени по всем подчиненным сотрудникам; начисление З/П по подчиненным сотрудникам; выполнение обязанностей Кладовщика по выдаче с/х запчастей и ГСМ; закупка с/х запчастей; частичное выполнение обязанностей Агронома по выращиванию и уборке сахарной свеклы; выдача накладных на перевозку с/х продукции; сдача с/х продукции на завод; подбор сотрудников по всем специальностям;
1434,315,4,Слесарь мехцеха 5 разряда,20,Наладчик цельно-молочного оборудования.
1435,315,3,Слесарь мехцеха 4 разряда,1,Ремонт и обслуживание технологического оборудования.
1436,315,2,Слесарь мехцеха 3 разряда,16,Ремонт и обслуживание технологического оборудования.
1437,315,1,Слесарь по ремонту автомобилей и мотоциклов 3 разряда,32,"Исполнял обязанности механика, экспедитора; ремонт легкого автотранспорта; закупка автозапчастей; ежедневное составление Актов выполненных работ; заполнение Авансовых отчетов; продажа легкого автотранспорта и мотоциклов и их запчастей; сопровождение грузов; перегон автомобилей."
1438,316,2,Слесарь РТУ (механик),10000,"Наладка, ремонт механо технологического оборудования. Техническое обслуживание, Текущий ремонт, Средний ремонт, Визуально измерительный контроль(ВИК): - запорной арматуры; - насосных агрегатов, затворов, обратных клапанов. Гидро испытания запорной арматуры на герметичность ( на стэнде), составление акта ( по результатам испытания). Испытание и тарировка клапанов СППК( на стэнде), составление акта по результатам испытания. Статическое Испытание страховочных, сигнальных( веревок, канатов); испытание лестниц, стеллажей, стропов на прочность. Запись в журнале испытаний, протокол испытаний, бирка( с датой текущего и следующего испытания)."
1439,316,1,Водитель-курьер категории С,7,"Собирал молоко на фермах после дойки ( утро, вечер) и сдавал его в ООО Самаралакто. А также следить за исправным состоянием рабочего автомобиля, поддерживать в рабочем состоянии, ремонтировать. Обеспечивать своевременную и бесперебойную поставку продукта( молоко) в пункт сдачи."
1440,317,6,Специалист по ТО,36,"Проведение планового и текущего ремонта оборудования, Эксплуатация зданий и сооружений, Работа с подрядными организациями. Проведение ТО, проверок, аудитов, Контроль подрядных организаций. Закупка материалов и оборудования. Ведение отчетов и документации. Заключение договоров, Открытее новых объектов! Ремонт и обслуживание холодильных установок и кондиционеров. Обслуживание силовых щитов, сборка силовых щитов, Прокладка однолинейных сетей."
1441,317,5,Оператор Харвестер John Deere 1270D,12,Работа и текущий ремонт на Харвестер John Deere 1270D
1442,317,4,Электро-Механик,6,"Эксплуатация зданий и оборудования, ремонт и обслуживание оборудования производственных цехов (мясной цех, пекарня, рыбный цех, ресторан). Обслуживание и ремонт всех инженерных систем (электроснабжение,водоснабжение, теплоснабжение, кондиционирование и вентиляция), Обслуживание холодильных установок,обслуживание кательной."
1443,317,3,Электромеханик,31,"Обеспечение бесперебойной работы холодильного, осветительного оборудования. Обслуживание и ремонт производственного оборудования"
1444,317,2,Автослесарь,11,Обслуживание и ремонт грузового транспорта
1445,317,1,Водитель,21,"Доставка расходных материалов, личного состава"
1446,318,4,"Торговля СЗР, семена, биопрепараты, микроудобрение",43,"Организация работы филиала, переговоры с клиентами, закладка и отслеживание опытов, подбор сотрудников, ведение хозяйственной деятельности филиала"
1447,318,3,Региональный менеджер,32,Ежегодный рост продаж на 20%
1448,318,2,Глава ИП,155,"Консультирование, продажи, расширение клиентской базы, подбор и управление персоналом."
1449,318,1,государственный инспектор,74,"Контроль и надзор, продвижение нового товара на рынке, активный поиск клиентской базы, консультации"
1450,319,7,Менеджер по закупкам,10000,Закуп зерновых
1451,319,6,Специалист зернового отдела,12,Закуп
1452,319,5,Управляющий агроном,9,Пыль да тоска
1453,319,4,Менеджер по закупу,21,"Горячие звонки фермерским хозяйствам!заключение договоров и контроль отгрузок!работа с такими культурами как рапс,лен,подсолнечник,горох,ячмень,овес,пшеница мягких сортов,гречиха!"
1454,319,3,Агроном,17,"Выращивание с\х культур таких как озимая пшеница,ячмень,яр.пшеница,кукуруза на зерно,соя,рапс,подсолнечник,горох!работа с фенологическими наблюдениями за растениями через программу Абакус"
1455,319,2,Начальник элеватора,15,"Приёмка,подработка,сушка,зерновых культур с последующей отгрузкой жд, контейнера"
1456,319,1,Агроном,8,выращивание с/х культур
1457,320,3,Механизатор,10000,"Возделывание почвы, Ремонт ДВС"
1458,320,2,Механизатор,6,"Возделывание почвы , посев зерновых культур"
1459,320,1,Механизатор-Слесарь,37,"Возделывание почвы, уход за посевами, ремонт сх техники"
1460,321,10,Директор по производству,10000,"Организация производства, обучение и контроль персонала, технология, микроклимат, ветеринария, разработка проэкта реконструкции производственных объектов(птичники, инкубаторий, убойный цех) и запуск данных объектов, контроль за кормовой базой и разработка рецептур, закупка инкубационных яиц, продажа птицы. Направление птицеводство(бройлер, утка, гусь)."
1461,321,9,Руководитель по воспроизводству,6,"Управление, технология, контроль, отчётность, обучение персонала. Комплекс состоит из двух фабрик. Кросс Росс-308, ИЗА"
1462,321,8,Главный зоотехник,24,"ООО «Птицефабрика Павловская» птицеводство, г. Павлово. Главный зоотехник по птицеводству, зам. директора по производству. Управление, технология, контроль, отчётность, обучение персонала. Комплекс состоит из двух птицефабрик, (82 цеха), коэфициент продуктивности 285-380 ед., среднесуточный привес 56-72гр."
1463,321,7,Руководитель инкубатория,23,"Запуск, управление, технология,технологические карты,циклограммы, контроль, отчётность, обучение персонала,прочее, производственная мощность 76000000 яйцемест в год."
1464,321,6,Начальник,7,"родительского стада Управление, технология, контроль, отчётность, обучение персонала, и прочее 10.2012-04.2013 По соглашению сторон"
1465,321,5,Директор завода,28,"птицеводство, г.Лиски Воронежская обл. Директор завода инкубации Управление, технология,технологические карты,циклограммы, контроль, отчётность, обучение персонала,прочее, производственная мощность 86000000 яйцемест в год, средний вывод 78%, максимальный 89,5% 05.2010-08.2012 По собственному желанию"
1466,321,4,Главный зоотехник,9,"(Птицефабрика Киевская), птицеводство, г.Киев, г.Донецк Главный зоотехник Управление, технология, контроль, отчётность, обучение персонала, ISO 2009, HACCP. Среднее поголовье кур несушек 1000000 голов, на среднюю несушку 307-310 яиц. 08.2009-04.2010 Переезд В РФ по собственному желанию"
